start,end
40817735077,13580068590
4160055907,13580068590
5802261793,13580068590
23898132889,13580068590
40384414061,13580068590
38063234978,13580068590
33440022477,13580068590
27733156208,13580068590
37826567075,13580068590
6158933762,13580068590
13317184033,13580068590
1940201116,13580068590
35309955163,13580068590
7546113177,13580068590
31075843149,13580068590
32912684884,13580068590
4260671991,13580068590
33216337376,13580068590
8634472929,13580068590
3043715720,13580068590
9744219134,13580068590
32794138906,13580068590
21285463125,13580068590
22412006815,13580068590
30136021718,13580068590
1981513706,13580068590
5761107992,13580068590
2240935677,13580068590
4372413922,13580068590
3967298901,13580068590
29107215319,13580068590
1394784480,13580068590
2323570614,13580068590
12064941771,13580068590
2079432955,13580068590
1903973745,13580068590
12355203717,13580068590
3180263837,13580068590
6865239301,13580068590
7105105657,13580068590
7589823431,13580068590
6847854228,13580068590
12868701287,13580068590
8994877307,13580068590
11104414732,13580068590
5674567589,13580068590
26513650454,13580068590
2524840720,13580068590
1314732087,13580068590
19377837118,13580068590
1958257816,13580068590
24817818984,13580068590
1702334006,13580068590
21288013297,13580068590
6290971355,13580068590
3043868703,13580068590
2870668709,13580068590
5885440912,13580068590
4547488155,13580068590
7077758178,13580068590
6813567329,13580068590
7086342964,13580068590
2148994584,13580068590
14062261558,13580068590
4076514736,13580068590
22987306006,13580068590
24726605646,13580068590
11704282717,13580068590
6349631582,13580068590
21967443959,13580068590
4277751279,13580068590
7798342681,13580068590
6935924632,13580068590
3188424467,13580068590
6868038938,13580068590
13034552303,13580068590
4326531178,13580068590
1641250170,13580068590
7868945885,13580068590
5392920556,13580068590
1311644529,13580068590
16674827463,13580068590
12653026276,13580068590
6940037306,13580068590
15554174007,13580068590
1647861727,13580068590
13759527835,13580068590
11793342881,13580068590
3887493697,13580068590
6681535961,13580068590
3429830741,13580068590
3672355541,13580068590
7459407725,13580068590
9681937631,13580068590
2954023471,13580068590
2292057617,13580068590
1395621169,13580068590
5949107467,13580068590
4211580741,13580068590
3917675105,13580068590
7437102072,13580068590
13245118330,13580068590
3594285522,13580068590
13580068590,40817735077
13580068590,5802261793
13580068590,4160055907
13580068590,40384414061
13580068590,31785307735
13580068590,38063234978
13580068590,33440022477
13580068590,27733156208
13580068590,37826567075
13580068590,6158933762
13580068590,8538902648
13580068590,1684411273
13580068590,1940201116
13580068590,7546113177
13580068590,31075843149
13580068590,8634472929
13580068590,2323570614
13580068590,9744219134
13580068590,32794138906
13580068590,4260671991
13580068590,21729607473
13580068590,5761107992
13580068590,2240935677
13580068590,4372413922
13580068590,1394784480
13580068590,7105105657
13580068590,7589823431
13580068590,6847854228
13580068590,2525851289
13580068590,7261974243
13580068590,5674567589
13580068590,2524840720
13580068590,24817818984
13580068590,6290971355
13580068590,3043868703
13580068590,5885440912
13580068590,2870668709
13580068590,7077758178
13580068590,4076514736
13580068590,22987306006
13580068590,21285463125
13580068590,11704282717
13580068590,6349631582
13580068590,4277751279
13580068590,6935924632
13580068590,6868038938
13580068590,3188424467
13580068590,4326531178
13580068590,1641250170
13580068590,7868945885
13580068590,13376710759
13580068590,5392920556
13580068590,9131317391
13580068590,16674827463
13580068590,7159109885
13580068590,1647861727
13580068590,11793342881
13580068590,3672355541
13580068590,7086342964
13580068590,3887493697
13580068590,2292057617
13580068590,4211580741
13580068590,1395621169
13580068590,3429830741
13580068590,3594285522
13580068590,3917675105
13580068590,9681937631
13580068590,12731449978
13580068590,7437102072
13580068590,13245118330
